Base form,Past simple,Past participle
Drip-feed,Drip-fed,Drip-fed
Drive,Drove,Driven
Dwell,Dwelt,Dwelt
Eat,Ate,Eaten
End-run,End-ran,End-run
Engird,Engirt,Engirt
Engrave,Engraved,Engraved/Engraven
Enwind,Enwound,Enwound
Fall,Fell,Fallen
Farebeat,Farebeat,Farebeaten
Fast-cut,Fast-cut,Fast-cut
Feed,Fed,Fed
Feel,Felt,Felt
Fight,Fought,Fought
Find,Found,Found
Fit,Fit/Fitted,Fit/Fitted
Flash-freeze,Flash-froze,Flash-frozen
Flee,Fled,Fled
Fling,Flung,Flung
Floodlight,Floodlit,Floodlit
Fly,Flew,Flown
Flyblow,Flyblew,Flyblown
Forbear,Forbore,Forborne/Forborn
Forbid,Forbade/Forbad,Forbidden
Force-feed,Force-fed,Force-fed
Fordo/Foredo,Fordid,Fordone
Forecast,Forecast/Forecasted,Forecast/Forecasted
Forefeel,Forefelt,Forefelt
Forego,Forewent,Foregone
Foreknow,Foreknew,Foreknown
Forerun,Foreran,Forerun
Foresee,Foresaw,Foreseen
Foreshow,Foreshowed,Forshowed/Foreshown
Forespeak,Forespoke,Forespoken
Foretell,Foretold,Foretold
Forget,Forgot,Forgotten
Forgive,Forgave,Forgiven
Forgo,Forwent,Forgone
Forlese,Forlore,Forlorn
Forsake,Forsook,Forsaken
Forswear,Forswore,Forsworn
Fraught,Fraught/Fraughted,Fraught/Fraughted
Free-fall,Free-fell,Free-fallen
Freeze,Froze,Frozen
Frostbite,Frostbit,Frostbitten
Gainsay,Gainsaid,Gainsaid
Gaslight,Gaslit/Gaslighted,Gaslit/Gaslighted
Geld,Gelded/Gelt,Gelded/Gelt
Get,Got,Got/Gotten
Ghostwrite,Ghostwrote,Ghostwritten
Gild,Gilt/Gilded,Gilt/Gilded
Gin,Gan,Gan
Gird,Girded/Girt,Girded/Girt
Give,Gave,Given
Gnaw,Gnawed,Gnawed/Gnawn
Go,Went,Gone/Been
Grave,Graved,Graven/Graved
Grind,Ground,Ground
Grow,Grew,Grown
Hagride,Hagrode,Hagridden
Halterbreak,Halterbroke,Halterbroken
Hamstring,Hamstrung/Hamstringed,Hamstrung/Hamstringed
Hand-feed,Hand-fed,Hand-fed
Hand-ride,Hand-rode,Hand-ridden
Handsew,Handsewed,Handsewn/Handsewed
Handwrite,Handwrote,Handwritten
Hang,Hung/Hanged,Hung/Hanged
Have,Had,Had
Hear,Heard,Heard
Heave,Heaved/Hove,Heaved/Hove
Hew,Hewed,Hewn
Hide,Hid,Hidden
Hight,Hote/Hight,Hoten
Hit,Hit,Hit
Hoise,Hoised/Hoist,Hoised/Hoist
Hoist,Hoist/Hoisted,Hoist/Hoisted
Hold,Held,Held
House-sit,House-sat,House-sat
Housebreak,Housebroke,Housebroken
Hurt,Hurt,Hurt
Inbreed,Inbred,Inbred
Indwell,Indwelt,Indwelt
Inhold,Inheld,Inheld
Inlay,Inlaid,Inlaid
Input,Input/Inputted,Input/Inputted
Inset,Inset,Inset
Interblend,Interblended/Interblent,Interblended/Interblent
Interbreed,Interbred,Interbred
Intercut,Intercut,Intercut
Intergrave,Intergraved,Intergraved/Intergraven
Interlay,Interlaid,Interlaid
Interset,Interset,Interset
Interweave,Interwove,Interwoven
Interwind,Interwound,Interwound
Inweave,Inwove/Inweaved,Inwoven/Inweaved
Inwind,Inwound,Inwound
Jerry-build,Jerry-built,Jerry-built
Keep,Kept,Kept
Ken,Kent/Kenned,Kent/Kenned
Kneel,Knelt/Kneeled,Knelt/Kneeled
Knit,Knit/Knitted,Knit/Knitted
Know,Knew,Known
Lade,Laded,Laden/Laded
Landslide,Landslid/Landslided,Landslid/Landslided
Lay,Laid,Laid
Lead,Led,Led
Lean,Leant/Leaned,Leant/Leaned
Leap,Leapt/Leaped,Leapt/Leaped
Learn,Learnt/Learned,Learnt/Learned
Leave,Left,Left
Lend,Lent,Lent
Lep,Lept,Lept
Let,Let,Let
Lie,Lay,Lain
Light,Lit,Lit
Linebreed,Linebred,Linebred
Lip-Read,Lip-Read,Lip-Read
Lose,Lost,Lost
Make,Made,Made
Mean,Meant,Meant
Meet,Met,Met
Melt,Melted,Molten/Melted
Misbecome,Misbecame,Misbecome
Miscast,Miscast,Miscast
Mischoose,Mischose,Mischosen
Miscut,Miscut,Miscut
Misdeal,Misdealt,Misdealt
Misdo,Misdid,Misdone
Misfall,Misfell,Misfallen
Misfeed,Misfed,Misfed
Misgive,Misgave,Misgiven
Mishear,Misheard,Misheard
Mishit,Mishit,Mishit
Misknow,Misknew,Misknown
Mislay,Mislaid,Mislaid
Mislead,Misled,Misled
Mislearn,Mislearnt/Mislearned,Mislearnt/Mislearned
Misread,Misread,Misread
Missay,Missaid,Missaid
Missend,Missent,Missent
Misset,Misset,Misset
Misspeak,Misspoke,Misspoken
Misspell,Misspelt/Misspelled,Misspelt/Misspelled
Misspend,Misspent,Misspent
Misswear,Misswore,Missworn
Mistake,Mistook,Mistaken
Misteach,Mistaught,Mistaught
Mistell,Mistold,Mistold
Misthink,Misthought,Misthought
Misunderstand,Misunderstood,Misunderstood
Miswear,Misswore,Misworn
Miswed,Miswed/Miswedded,Miswed/Miswedded
Miswrite,Miswrote,Miswritten
Moonlight,Moonlit,Moonlit
Mow,Mowed,Mown
Naysay,Naysaid,Naysaid
Nose-dive,Nose-dived/Nose-dove,Nose-dived/Nose-dove
Offset,Offset,Offset
Outbid,Outbid,Outbid
Outbreed,Outbred,Outbred
Outdo,Outdid,Outdone
Outdraw,Outdrew,Outdrawn
Outdrink,Outdrank,Outdrunk
Outdrive,Outdrove,Outdriven
Outfight,Outfought,Outfought
Outfly,Outflew,Outflown
Outgrow,Outgrew,Outgrown
Outlay,Outlaid,Outlaid
Outleap,Outleapt/Outleaped,Outleapt/Outleaped
Output,Output/Outputted,Output/Outputted
Outride,Outrode,Outridden
Outrun,Outran,Outrun
Outsee,Outsaw,Outseen
Outsell,Outsold,Outsold
Outshine,Outshone,Outshone
Outshoot,Outshot,Outshot
Outsing,Outsang,Outsung
Outsit,Outsat,Outsat
Outsleep,Outslept,Outslept
Outsmell,Outsmelt/Outsmelled,Outsmelt/Outsmelled
Outspeak,Outspoke,Outspoken
Outspeed,Outsped,Outsped
Outspend,Outspent,Outspent
Outspin,Outspun,Outspun
Outspring,Outsprang,Outsprung
Outstand,Outstood,Outstood
Outswear,Outswore,Outsworn
Outswim,Outswam,Outswum
Outtell,Outtold,Outtold
Outthink,Outthought,Outthought
Outthrow,Outthrew,Outthrown
Outwear,Outwore,Outworn
Outwind,Outwound,Outwound
Outwork,Outworked/Outwrought,Outworked/Outwrought
Outwrite,Outwrote,Outwritten
Overbear,Overbore,Overborne
Overbid,Overbid,Overbid
Overblow,Overblew,Overblown
Overbreed,Overbred,Overbred
Overbuild,Overbuilt,Overbuilt
Overbuy,Overbought,Overbought
Overcast,Overcast,Overcast
Overcome,Overcame,Overcome
Overcut,Overcut,Overcut
Overdo,Overdid,Overdone
Overdraw,Overdrew,Overdrawn
Overdrink,Overdrank,Overdrunk
Overdrive,Overdrove,Overdriven
Overeat,Overate,Overeaten
Overfeed,Overfed,Overfed
Overfly,Overflew,Overflown
Overgrow,Overgrew,Overgrown
Overhang,Overhung,Overhung
Overhear,Overheard,Overheard
Overlay,Overlaid,Overlaid
Overleap,Overleapt/Overleaped,Overleapt/Overleaped
Overlearn,Overlearnt/Overlearned,Overlearnt/Overlearned
Overlie,Overlay,Overlain
Overpass,Overpast/Overpassed,Overpast/Overpassed
Overpay,Overpaid,Overpaid
Override,Overrode,Overridden
Overrun,Overran,Overrun
Oversee,Oversaw,Overseen
Oversell,Oversold,Oversold
Overset,Overset,Overset
Oversew,Oversewed,Oversewn/Oversewed
Overshoot,Overshot,Overshot
Oversleep,Overslept,Overslept
Oversow,Oversowed,Oversown/Oversowed
Overspeak,Overspoke,Overspoken
Overspend,Overspent,Overspent
Overspill,Overspilt/Overspilled,Overspilt/Overspilled
Overspin,Overspun,Overspun
Overspread,Overspread,Overspread
Overspring,Oversprang,Oversprung
Overstand,Overstood,Overstood
Overstrew,Overstrewed,Overstrewed/Overstrewn
Overstride,Overstrode,Overstridden
Overstrike,Overstruck,Overstruck
Overstring,Overstrung,Overstrung
Overtake,Overtook,Overtaken
Overthink,Overthought,Overthought
Overthrow,Overthrew,Overthrown
Overwear,Overwore,Overworn
Overwind,Overwound,Overwound
Overwithhold,Overwithheld,Overwithheld
Overwrite,Overwrote,Overwritten
Partake,Partook,Partaken
Pay,Paid,Paid
Pen,Pent/Penned,Pent/Penned
Pinch-hit,Pinch-hit,Pinch-hit
Plead,Pled/Pleaded,Pled/Pleaded
Potshot,Potshot/Potshotted,Potshot
Practice-teach,Practice-taught,Practice-taught
Prebind,Prebound,Prebound
Prebuild,Prebuilt,Prebuilt
Precut,Precut,Precut
Predo,Predid,Predone
Premake,Premade,Premade
Prepay,Prepaid,Prepaid
Presell,Presold,Presold
Preset,Preset,Preset
Preshrink,Preshrank,Preshrunk
Presplit,Presplit,Presplit
Price-cut,Price-cut,Price-cut
Proofread,Proofread,Proofread
Prove,Proved,Proven/Proved
Put,Put,Put
Quick-freeze,Quick-froze,Quick-frozen
Quit,Quit,Quit
Rap,Rapped/Rapt,Rapped/Rapt
Re-prove,Re-proved,Re-proven/Re-proved
Read,Read,Read
Reave,Reft/Reaved,Reft/Reaved
Reawake,Reawoke,Reawoken/Reawaken
Rebid,Rebid,Rebid
Rebind,Rebound,Rebound
Rebroadcast,Rebroadcast,Rebroadcast
Rebuild,Rebuilt,Rebuilt
Recast,Recast,Recast
Recut,Recut,Recut
Redd,Redd/Redded,Redd/Redded
Redeal,Redealt,Redealt
Redo,Redid,Redone
Redraw,Redrew,Redrawn
Reeve,Rove/Reeved,Rove/Reeved
Refit,Refit,Refit
Regrind,Reground,Reground
Regrow,Regrew,Regrown
Rehang,Rehung,Rehung
Rehear,Reheard,Reheard
Reknit,Reknit/Reknitted,Reknit/Reknitted
Relay,Relaid,Relaid
Relearn,Relearnt/Relearned,Relearnt/Relearned
Relight,Relit/Relighted,Relit/Relighted
Remake,Remade,Remade
Rend,Rent,Rent
Repay,Repaid,Repaid
Reread,Reread,Reread
Rerun,Reran,Rerun
Resell,Resold,Resold
Resend,Resent,Resent
Reset,Reset,Reset
Resew,Resewed,Resewn/Reswed
Reshoot,Reshot,Reshot
Resit,Resat,Resat
Resow,Resowed,Resown/Resowed
Respell,Respelled/Respelt,Respelled/Respelt
Restring,Restrung,Restrung
Retake,Retook,Retaken
Reteach,Retaught,Retaught
Retear,Retore,Retorn
Retell,Retold,Retold
Rethink,Rethought,Rethought
Retread,Retrod,Retrodden
Retrofit,Retrofit/Retrofitted,Retrofit/Retrofitted
Rewake,Rewoke/Rewaked,Rewoken/Rewaked
Rewear,Rewore,Reworn
Reweave,Rewove/Reweaved,Rewoven/Reweaved
Rewed,Rewed/Rewedded,Rewed/Rewedded
Rewet,Rewet/Rewetted,Rewet/Rewetted
Rewin,Rewon,Rewon
Rewind,Rewound,Rewound
Rewrite,Rewrote,Rewritten
Rid,Rid/Ridded,Rid/Ridded
Ride,Rode,Ridden
Ring,Rang,Rung
Rise,Rose,Risen
Rive,Rived,Riven/Rived
Rough-hew,Rough-hewed,Rough-hewn
Roughcast,Roughcast,Roughcast
Run,Ran,Run
Sand-cast,Sand-cast,Sand-cast
Saw,Sawed,Sawn/Sawed
Say,Said,Said
See,Saw,Seen
Seek,Sought,Sought
Self-feed,Self-fed,Self-fed
Self-sow,Self-sowed,Self-sown/Self-sowed
Sell,Sold,Sold
Send,Sent,Sent
Set,Set,Set
Sew,Sewed,Sewn/Sewed
Shake,Shook,Shaken
Shave,Shaved,Shaven/Shaved
Shear,Shore/Sheared,Shorn/Sheared
Shed,Shed,Shed
Shend,Shent,Shent
Shew,Shewed,Shewn/Shewed
Shine,Shone,Shone
Shit,Shat/Shit,Shat/Shit
Shoe,Shod,Shod
Shoot,Shot,Shot
Shortcut,Shortcut,Shortcut
Show,Showed,Shown
Shrink,Shrank,Shrunk
Shrive,Shrove,Shriven
Shut,Shut,Shut
Sidewind,Sidewound,Sidewound
Sight-read,Sight-read,Sight-read
Sightsee,Sightsaw,Sightseen
Sing,Sang,Sung
Sink,Sank,Sunk
Sit,Sat,Sat
Skywrite,Skywrote,Skywritten
Slay,Slew,Slain
Sleep,Slept,Slept
Slide,Slid,Slid/Slidden
Sling,Slung,Slung
Slink,Slunk,Slunk
Slit,Slit,Slit
Smell,Smelt/Smelled,Smelt/Smelled
Smite,Smote,Smitten
Snapshoot,Snapshot,Snapshot
Sneak,Sneaked/Snuck,Sneaked/Snuck
Soothsay,Soothsaid,Soothsaid
Sow,Sowed,Sown
Speak,Spoke,Spoken
Speed,Sped/Speeded,Sped/Speeded
Spell,Spelt/Spelled,Spelt/Spelled
Spellbind,Spellbound,Spellbound
Spend,Spent,Spent
Spill,Spilt/Spilled,Spilt/Spilled
Spin,Span/Spun,Spun
Spit,Spat/Spit,Spat/Spit
Split,Split,Split
Spoil,Spoilt/Spoiled,Spoilt/Spoiled
Spoonfeed,Spoonfed,Spoonfed
Spread,Spread,Spread
Spring,Sprang,Sprung
Stall-feed,Stall-fed,Stall-fed
Stand,Stood,Stood
Stave,Stove/Staved/Stoved,Stove/Staved/Stoved
Steal,Stole,Stolen
Stick,Stuck,Stuck
Sting,Stung,Stung
Stink,Stank,Stunk
Straphang,Straphung,Straphung
Strew,Strewed,Strewn/Strewed
Stride,Strode/Strided,Stridden
Strike,Struck,Struck/Stricken
String,Strung,Strung
Strip,Stript/Stripped,Stript/Stripped
Strive,Strove,Striven
Sublet,Sublet,Sublet
Sunburn,Sunburned/Sunburnt,Sunburned/Sunburnt
Swear,Swore,Sworn
Sweat,Sweat/Sweated,Sweat/Sweated
Sweep,Swept/Sweeped,Swept/Sweeped
Swell,Swelled,Swollen
Swim,Swam,Swum
Swing,Swung,Swung
Swink,Swank/Swonk,Swonken
Switch-hit,Switch-hit,Switch-hit
Take,Took,Taken
Teach,Taught,Taught
Team-teach,Team-taught,Team-taught
Tear,Tore,Torn
Telecast,Telecast/Telecasted,Telecast/Telecasted
Tell,Told,Told
Test-drive,Test-drove,Test-driven
Test-fly,Test-flew,Test-flown
Think,Thought,Thought
Thrive,Throve/Thrived,Thriven/Thrived
Throw,Threw,Thrown
Thrust,Thrust,Thrust
Thunderstrike,Thunderstruck,Thunderstruck/Thunderstricken
Tine,Tint/Tined,Tint/Tined
Tread,Trod,Trodden
Troubleshoot,Troubleshot,Troubleshot
Typecast,Typecast,Typecast
Typeset,Typeset,Typeset
Typewrite,Typewrote,Typewritten
Unbear,Unbore,Unborn/Unborne
Unbend,Unbent,Unbent
Unbind,Unbound,Unbound
Unbuild,Unbuilt,Unbuilt
Unclothe,Unclad/Unclothed,Unclad/Unclothed
Underbid,Underbid,Underbid/Underbidden
Underbuy,Underbought,Underbought
Undercut,Undercut,Undercut
Underdo,Underdid,Underdone
Underfeed,Underfed,Underfed
Undergird,Undergirt/Undergirded,Undergirt/Undergirded
Undergo,Underwent,Undergone
Underlay,Underlaid,Underlaid
Underlet,Underlet,Underlet
Underlie,Underlay,Underlain
Underpay,Underpaid,Underpaid
Underrun,Underran,Underrun
Undersell,Undersold,Undersold
Undershoot,Undershot,Undershot
Underspend,Underspent,Underspent
Understand,Understood,Understood
Undertake,Undertook,Undertaken
Underthrust,Underthrust,Underthrust
Underwrite,Underwrote,Underwritten
Undo,Undid,Undone
Undraw,Undrew,Undrawn
Undraw,Undrew,Undrawn
Unfreeze,Unfroze,Unfrozen
Unhang,Unhung,Unhung
Unhide,Unhid,Unhidden
Unhold,Unheld,Unheld
Unknit,Unknit/Unknitted,Unknit/Unknitted
Unlade,Unladed,Unladen/Unladed
Unlay,Unlaid,Unlaid
Unlearn,Unlearnt/Unlearned,Unlearnt/Unlearned
Unmake,Unmade,Unmade
Unreeve,Unrove/Unreeved,Unrove/Unreeved
Unsay,Unsaid,Unsaid
Unsell,Unsold,Unsold
Unsew,Unsewed,Unsewn/Unsewed
Unsling,Unslung,Unslung
Unspeak,Unspoke,Unspoken
Unspin,Unspun,Unspun
Unstick,Unstuck,Unstuck
Unstring,Unstrung,Unstrung
Unswear,Unswore,Unsworn
Unteach,Untaught,Untaught
Unthink,Unthought,Unthought
Untread,Untrod,Untrodden
Unweave,Unwove,Unwoven
Unwind,Unwound,Unwound
Unwrite,Unwrote,Unwritten
Upbuild,Upbuilt,Upbuilt
Uphold,Upheld,Upheld
Uppercut,Uppercut,Uppercut
Uprise,Uprose,Uprisen
Upset,Upset,Upset
Upspring,Upsprang,Upsprung
Upsweep,Upswept,Upswept
Uptear,Uptore,Uptorn
Vex,Vext/Vexed,Vext/Vexed
Wake,Woke,Woken
Waylay,Waylaid,Waylaid
Wear,Wore,Worn
Weave,Wove,Woven
Wed,Wed/Wedded,Wed/Wedded
Weep,Wept,Wept
Wend,Wended/Went,Wended/Went
Wet,Wet/Wetted,Wet/Wetted
Whipsaw,Whipsawed,Whipsawn/Whipsawed
Win,Won,Won
Wind,Wound,Wound
Winterfeed,Winterfed,Winterfed
Wiredraw,Wiredrew,Wiredrawn
Wit,Wist,Wist
Withdraw,Withdrew,Withdrawn
Withhold,Withheld,Withheld
Withstand,Withstood,Withstood
Wont,Wont,Wont/Wonted
Work,Worked/Wrought,Worked/Wrought
Wrap,Wrapped/Wrapt,Wrapped/Wrapt
Wreak,Wreaked,Wreaked/Wroken
Wring,Wrung,Wrung
Write,Wrote,Written
Zinc,Zinced/Zincked,Zinced/Zincked
